Instance, Time, BestCost
./instances/berlin52.tsp,0.682249,143721
./instances/berlin52.tsp,0.749344,143721
./instances/berlin52.tsp,0.539431,143721
./instances/berlin52.tsp,0.558138,143721
./instances/berlin52.tsp,0.536394,143721
./instances/berlin52.tsp,0.594225,143721
./instances/berlin52.tsp,0.589155,143721
./instances/berlin52.tsp,0.485317,143721
./instances/berlin52.tsp,0.494502,143721
./instances/kroB100.tsp,10.6779,986008
./instances/kroB100.tsp,12.0852,986008
./instances/kroB100.tsp,10.47,986008
./instances/kroB100.tsp,10.2796,989999
./instances/kroB100.tsp,9.23623,986008
./instances/kroB100.tsp,12.0472,986008
./instances/kroB100.tsp,11.8359,987664
./instances/kroB100.tsp,10.595,986008
./instances/kroB100.tsp,10.4301,986008
./instances/kroB100.tsp,11.442,986008
./instances/kroB100.tsp,11.6136,986008
./instances/kroB100.tsp,11.724,986008
./instances/kroB100.tsp,10.4707,986008
./instances/kroB100.tsp,9.40421,986008
./instances/kroB100.tsp,8.158,986008
./instances/kroB100.tsp,10.1863,986008
./instances/kroB100.tsp,13.6149,986008
./instances/kroB100.tsp,11.9487,986008
./instances/kroB100.tsp,10.7948,986008
./instances/kroB100.tsp,7.54963,986008
./instances/rd100.tsp,9.29158,340607
./instances/rd100.tsp,11.5715,340706
./instances/rd100.tsp,9.45672,340047
./instances/rd100.tsp,10.4724,340047
./instances/rd100.tsp,8.32293,340875
./instances/rd100.tsp,9.78319,340047
./instances/rd100.tsp,9.15772,340607
./instances/rd100.tsp,12.3229,340047
./instances/rd100.tsp,10.7484,340047
./instances/rd100.tsp,12.0721,340047
./instances/rd100.tsp,12.5516,340607
./instances/rd100.tsp,11.4076,340047
./instances/rd100.tsp,11.4521,340607
./instances/rd100.tsp,11.1581,340047
./instances/rd100.tsp,10.9604,340047
./instances/rd100.tsp,11.2771,340047
./instances/rd100.tsp,8.72907,340875
./instances/rd100.tsp,11.4027,340866
./instances/rd100.tsp,10.8398,340607
./instances/rd100.tsp,12.5305,340607
./instances/dantzig42.tsp,0.180717,12528
./instances/dantzig42.tsp,0.177189,12528
